Artist,ID,Unique Artists,Picture URL,Image Author,Image Source,Type
APink,32,Cosmic Girls,https://upload.wikimedia.org/wikipedia/commons/0/06/170716_%EC%88%98%EC%84%9C%EC%97%AD_%EA%B2%8C%EB%A6%B4%EB%9D%BC_%284%29.jpg,미의 기준,http://19981015.tistory.com/22,Girl Group
Girls' Generation,33,PLAYBACK,https://upload.wikimedia.org/wikipedia/commons/1/15/%ED%94%8C%EB%A0%88%EC%9D%B4%EB%B0%B1%28PLAYBACK%29_%ED%95%9C%EA%B5%AD%EA%B5%90%ED%86%B5%EB%8C%80%ED%95%99%EA%B5%90_%EC%9D%98%EC%99%95%EC%BA%A0%ED%8D%BC%EC%8A%A4_%EC%B6%95%EC%A0%9C.jpg,SJ,http://sjcontents.tistory.com/306,Girl Group
MONSTA X,34,Crayon Pop,https://upload.wikimedia.org/wikipedia/commons/4/40/%ED%81%AC%EB%A0%88%EC%9A%A9%ED%8C%9D%28Crayon_Pop%29_%EB%8F%84%EC%8B%9C_%EA%BC%AC%EB%A7%88%EB%93%A4%EC%9D%98_%ED%96%89%EB%B3%B5%ED%95%9C_%EC%B6%95%EC%A0%9C_%ED%8B%B0%EB%B8%8C%EB%A1%9C%EB%93%9C_%EC%9B%90%EC%9D%8C%EB%B0%A9%EC%86%A1_01.jpg,SJ,http://sjcontents.tistory.com/312,Girl Group
APink,35,2NE1,https://upload.wikimedia.org/wikipedia/commons/4/4a/2NE1_from_acrofan_2.jpg,acrofan.com,http://www.acrofan.com/ko-kr/life/content/20110220/0802030301,Girl Group
BTS,36,SUPER JUNIOR-D&E,https://upload.wikimedia.org/wikipedia/commons/f/f5/D%26E_Present_in_Hong_Kong.jpg,Malyn18,https://commons.wikimedia.org/wiki/File:D%26E_Present_in_Hong_Kong.jpg,Sub-Unit Group
SHINee,37,AMBER,https://upload.wikimedia.org/wikipedia/commons/4/40/Amber_Liu_at_Jeju_K-Pop_Festival%2C_in_October_2015_02.jpg,PTTf(x) - All for f(x) 에프엑스,http://pttfx.tistory.com/45,Solo
Girls Day,38,GD X TAEYANG,https://upload.wikimedia.org/wikipedia/commons/5/51/BIGBANG_MADE_TOUR_IN_DALIAN_-_2.jpg,Ghyuk,http://alwaysbepretty.tistory.com/23,Boy Group
BLACKPINK,39,GFRIEND,https://upload.wikimedia.org/wikipedia/commons/0/01/20160730-P1000885_%2828352591423%29.jpg,mduangdara,https://www.flickr.com/photos/mduangdara/28352591423/,Girl Group
WINNER,40,PENTAGON,https://upload.wikimedia.org/wikipedia/commons/1/1b/171215_Pentagon.png,Little Star* @kinowflake,http://19980127.tistory.com/17,Boy Group
GOT7,41,Stray Kids,https://upload.wikimedia.org/wikipedia/commons/9/97/180420_Stray_Kids_KBS_Music_Bank_Rehearsal.png,뉴스인스타,https://www.youtube.com/watch?v=fuQQo2UG_mo,Boy Group
