ID,Song Title,Artist,Year,YouTube MV Link,MV Start Time (Min.Second),YouTube Dance Practice Link,Dance Practice Start Time (Min.Sec),Duration (Second),Difficulty
71,Baby,ASTRO,2017,https://youtu.be/IwqEXtsvaDg,0.5,https://youtu.be/avXDxWtjGRM,1.4,28,Easy
72,WHISTLE,BLACKPINK,2016,https://youtu.be/dISNgvVpWlo,1.29,https://youtu.be/1kYrp_Bs8DU,1.14,25,Easy
73,Breathless,ASTRO,2016,https://youtu.be/aBNyHAasnSM,1.05,https://youtu.be/_jJNJ2rZovg,1.15,30,Easy
74,PLAYING WITH FIRE,BLACKPINK,2016,https://youtu.be/9pdj4iJD08s,0.56,https://youtu.be/NvWfJTbrTBY,0.58,25,Easy
75,Confession,ASTRO,2016,https://youtu.be/tuAm9KH2dkY,1.15,https://youtu.be/0TtN8JITvJE,0.45,31.5,Easy
76,Fly High,Dreamcatcher,2017,https://youtu.be/39yeTdIuKJU,0.55,https://youtu.be/d7zQOrY2Vj8,0.55,40,Hard
77,Not Today ,BTS,2016,https://youtu.be/9DwzBICPhdM,2,https://youtu.be/_PwYjNh1bww,1.05,41,Medium
78,Ko Ko Bop,EXO,2017,https://youtu.be/IdssuxDdqKk,0.4,https://youtu.be/bc0XW89yKrk,0.4,32,Medium
79,WEE WOO,Pristin,2017,https://youtu.be/wLfHuClrQdI,0.45,https://youtu.be/rAp6Q9bnk7k,0.52,36,Medium
80,Very Very Very,IOI,2016,https://youtu.be/l1hxg1rY17I,1.1,https://youtu.be/sRpDd_KNGxE,1.2,23,Easy
81,Can't Help Myself,Eric Nam,2017,https://youtu.be/myns4nPoprE,0.35,https://youtu.be/CU-yE6WKPZM,0.35,41,Easy
82,Pick Me,IOI,2015,https://youtu.be/BiorIyrjTHc,1.16,https://youtu.be/m6eyn46GTlU,0.5,68.5,Easy
83,GASHINA,Sunmi,2017,https://youtu.be/ur0hCdne2-s,1.3,https://youtu.be/dOsK3FQPhw0,0.45,28,Easy
84,Something ,Girls Day,2015,https://youtu.be/JO7qQ7peKeM,1.28,https://youtu.be/zVO5xTAbxm8,1.57,23,Medium
85,Red Flavor,Red Velvet,2017,https://youtu.be/WyiIGEHQP8o,0.55,https://youtu.be/xqqNrAxIVAk,0.5,30,Medium
86,HAPPY,Cosmic Girls,2017,https://youtu.be/YI1zfiw_rdM,0.42,https://youtu.be/bDxqW7roaPg,0.46,42,Easy
87,Want You To Say,PLAYBACK,2017,https://youtu.be/08Mmm_g4PoY,0.37,https://youtu.be/4CMh0Xq-CvM,0.32,28,Hard
88,Ring My Bell,Girls Day,2015,https://youtu.be/z4sN05-xIs4,0.45,https://youtu.be/CretxKgW4Jk,0.45,36,Medium
89,DDD,EXID,2017,https://youtu.be/axVvZrDz60k,0.55,https://youtu.be/HmrCCGpKozY,0.55,45.5,Easy
90,Bar Bar Bar,Crayon Pop,2013,https://youtu.be/yMqL1iWfku4,0.46,https://youtu.be/5RNxay_5V_U,0.46,40,Easy
91,Beautiful,MONSTA X,2017,https://youtu.be/f5Zedh_5DDM,0.45,https://youtu.be/iuthdMJBCpo,0.45,44,Medium
92,Love Me Love Me,WINNER,2017,https://youtu.be/ppOWR7ZLl7Q,0.51,https://youtu.be/7QcZpmAZVa4,0.46,42,Easy
93,DRAMARAMA,MONSTA X,2017,https://youtu.be/r1afdZk0qcI,1.1,https://youtu.be/TbdPEsW233o,0.5,37,Medium
94,COME BACK HOME,2NE1,2014,https://youtu.be/vLbfv-AAyvQ,1.15,https://youtu.be/0RUvealeXZ0,1.15,36,Medium
95,"Oppa, Oppa",SUPER JUNIOR-D&E,2011,https://youtu.be/m2mIjEswohI,0.4,https://youtu.be/LloLMZlnLXQ,0.4,21.5,Easy
96,Rookie,Red Velvet,2017,https://youtu.be/J0h8-OTC38I,1,https://youtu.be/o845InvtxKk,0.55,19,Medium
97,Black Suit ,Super Junior,2017,https://youtu.be/MvqB6JsRbsc,0.45,https://youtu.be/PQmCHYViLxE,0.45,25,Easy
98,SHAKE THAT BRASS,AMBER,2015,https://youtu.be/BYGeGI1Ihlc,1,https://youtu.be/H2qtD4ynqNg,0.42,19.5,Easy
99,Russian Roulette,Red Velvet,2016,https://youtu.be/QslJYDX3o8s,0.37,https://youtu.be/dKJFo3soTL0,0.48,36,Medium
100,GOOD BOY,GD X TAEYANG,2014,https://youtu.be/1ZRb1we80kM,1.35,https://youtu.be/cZPYWcAg86Q,0.3,25.5,Easy
101,Love Whisper,GFRIEND,2017,https://youtu.be/lnXXfYA91Y8,1.08,https://youtu.be/BryESQvnfoc,0.46,43,Medium
102,Summer Rain,GFRIEND,2017,https://youtu.be/ZsYwEV_ge4Y,0.55,https://youtu.be/Bla98UMxdHI,0.54,35.5,Medium
103,Fingertip,GFRIEND,2017,https://youtu.be/i1n_1jrUEjU,1.17,https://youtu.be/tL-pttfUv-w,1.1,38,Hard
104,Navillera,GFRIEND,2016,https://youtu.be/Se8bbsUFjC8,1.01,https://youtu.be/eGe476CqYkQ,1.24,28.5,Medium
